date,open,high,low,close,volume
2020-01-02,4.94070746,5.03340366,4.90362898,5.0055948,23629360.0
2020-01-03,4.99632518,4.99632518,4.93143784,4.97778594,13337270.0
2020-01-06,4.97778594,5.1446391,4.9592467,5.07975176,32151743.0
2020-01-07,5.07975176,5.20952644,5.0519429,5.1909872,20209153.0
2020-01-08,5.15390872,5.31149226,5.13536948,5.18171758,25106088.0
2020-01-09,5.20025682,5.27441378,5.11683024,5.15390872,18893710.0
2020-01-10,5.15390872,5.18171758,5.07975176,5.13536948,12155904.0
2020-01-13,5.1446391,5.18171758,5.07975176,5.17244796,13297955.0
2020-01-14,5.18171758,5.21879606,5.12609986,5.17244796,9414303.0
2020-01-15,5.16317834,5.17244796,5.098291,5.10756062,9123571.0
2020-01-16,5.13536948,5.13536948,5.01486442,5.06121252,12106716.0
2020-01-17,5.06121252,5.098291,4.98705556,5.03340366,10424835.0
2020-01-20,5.03340366,5.08902138,5.01486442,5.07975176,7787294.0
2020-01-21,5.07975176,5.07975176,4.90362898,4.94997708,16175250.0
2020-01-22,4.9128986,5.06121252,4.82947202,5.01486442,14193559.0
2020-01-23,4.97778594,4.99632518,4.78312392,4.82947202,15253511.0
2020-02-03,4.41233912,4.71823658,4.37526064,4.4030695,33622960.0
2020-02-04,4.51430494,4.84801126,4.51430494,4.84801126,29266174.0
2020-02-05,4.9592467,5.3300315,4.88508974,5.3300315,70481944.0
2020-02-06,5.21879606,5.54323276,5.18171758,5.36710998,60843839.0
2020-02-07,5.45980618,5.68227706,5.26514416,5.55250238,59727190.0
2020-02-10,5.53396314,5.68227706,5.44126694,5.54323276,36689732.0
2020-02-11,5.55250238,5.58958086,5.34857074,5.39491884,38768286.0
2020-02-12,5.41345808,5.5154239,5.38564922,5.45053656,21920505.0
2020-02-13,5.47834542,5.48761504,5.27441378,5.29295302,31209219.0
2020-02-14,5.29295302,5.52469352,5.25587454,5.40418846,49559788.0
2020-02-17,5.45980618,5.7008163,5.38564922,5.66373782,53040117.0
2020-02-18,5.8398606,5.86766946,5.55250238,5.63592896,41346464.0
2020-02-19,5.57104162,5.69154668,5.5154239,5.61738972,33251566.0
2020-02-20,5.66373782,5.68227706,5.45053656,5.63592896,36025564.0
