date,open,high,low,close,volume
2020-01-02,2.42542434,2.4838683,2.39620236,2.46438698,35897772
2020-01-03,2.4838683,2.57153424,2.46438698,2.4838683,52804667
2020-01-06,2.44490566,2.50334962,2.42542434,2.4838683,36950455
2020-01-07,2.47412764,2.52283094,2.46438698,2.51309028,26863329
2020-01-08,2.49360896,2.50334962,2.41568368,2.42542434,29514213
2020-01-09,2.44490566,2.46438698,2.435165,2.46438698,20703338
2020-01-10,2.46438698,2.47412764,2.42542434,2.45464632,14767065
2020-01-13,2.45464632,2.45464632,2.42542434,2.44490566,15387170
2020-01-14,2.435165,2.47412764,2.435165,2.46438698,21664838
2020-01-15,2.45464632,2.46438698,2.41568368,2.435165,13202608
2020-01-16,2.435165,2.435165,2.3864617,2.39620236,13261900
2020-01-17,2.40594302,2.41568368,2.36698038,2.37672104,9835367
2020-01-20,2.37672104,2.41568368,2.34749906,2.41568368,11381229
2020-01-21,2.39620236,2.41568368,2.37672104,2.3864617,10388736
2020-01-22,2.36698038,2.3864617,2.31827708,2.36698038,11419603
2020-01-23,2.34749906,2.35723972,2.25983312,2.2890551,16938104
2020-02-03,2.06501992,2.08450124,2.06501992,2.06501992,8415100
2020-02-04,1.86046606,1.9968353,1.86046606,1.96761332,26696726
2020-02-05,1.96761332,2.06501992,1.96761332,2.03579794,17071714
2020-02-06,2.05527926,2.08450124,2.03579794,2.08450124,20480990
2020-02-07,2.07476058,2.0942419,2.03579794,2.08450124,16116300
2020-02-10,2.05527926,2.25983312,2.05527926,2.2403518,36126265
2020-02-11,2.25009246,2.26957378,2.17216718,2.18190784,22818500
2020-02-12,2.17216718,2.20138916,2.15268586,2.20138916,13545122
2020-02-13,2.20138916,2.20138916,2.15268586,2.16242652,13137999
2020-02-14,2.15268586,2.16242652,2.12346388,2.1429452,11086701
2020-02-17,2.16242652,2.25009246,2.15268586,2.22087048,19775444
2020-02-18,2.21112982,2.25009246,2.1916485,2.22087048,17225476
2020-02-19,2.2403518,2.26957378,2.21112982,2.22087048,22395417
2020-02-20,2.22087048,2.25009246,2.20138916,2.2403518,18065900
2020-02-21,2.23061114,2.27931444,2.23061114,2.25983312,19828702
2020-02-24,2.25009246,2.26957378,2.20138916,2.25009246,21092002
2020-02-25,2.21112982,2.21112982,2.11372322,2.21112982,25740188
2020-02-26,2.18190784,2.30853642,2.17216718,2.26957378,37940510
2020-02-27,2.27931444,2.2890551,2.23061114,2.25009246,20587502
2020-02-28,2.20138916,2.22087048,2.15268586,2.15268586,21904522
2020-03-02,2.16242652,2.23061114,2.15268586,2.22087048,16258376
2020-03-03,2.2403518,2.26957378,2.21112982,2.2403518,17941304
2020-03-04,2.22087048,2.30853642,2.21112982,2.30853642,30395204
2020-03-05,2.31827708,2.435165,2.29879576,2.37672104,44342551
2020-03-06,2.32801774,2.39620236,2.31827708,2.35723972,34009654
2020-03-09,2.32801774,2.36698038,2.26957378,2.26957378,27093802
2020-03-10,2.2403518,2.37672104,2.2403518,2.37672104,32284711
2020-03-11,2.3864617,2.49360896,2.35723972,2.35723972,48463017
2020-03-12,2.31827708,2.39620236,2.2890551,2.3864617,36704493
2020-03-13,2.2403518,2.35723972,2.2403518,2.34749906,29351715
2020-03-16,2.36698038,2.36698038,2.2403518,2.25009246,26272311
2020-03-17,2.2403518,2.26957378,2.13320454,2.1916485,22591326
2020-03-18,2.20138916,2.22087048,2.1429452,2.1429452,14962546
2020-03-19,2.13320454,2.15268586,2.0942419,2.15268586,13778445
2020-03-20,2.15268586,2.18190784,2.12346388,2.17216718,10402721
2020-03-23,2.13320454,2.16242652,2.11372322,2.11372322,9344469
2020-03-24,2.13320454,2.15268586,2.11372322,2.15268586,8408500
2020-03-25,2.18190784,2.36698038,2.17216718,2.36698038,45538496
2020-03-26,2.32801774,2.45464632,2.27931444,2.37672104,80579939
2020-03-27,2.3377584,2.37672104,2.27931444,2.30853642,41083270
2020-03-30,2.26957378,2.435165,2.25983312,2.36698038,52696239
2020-03-31,2.36698038,2.60075622,2.31827708,2.60075622,110578361
2020-04-01,2.6299782,2.69816282,2.44490566,2.47412764,125776416
2020-04-02,2.44490566,2.51309028,2.34749906,2.41568368,74761832
2020-04-03,2.40594302,2.65920018,2.3864617,2.65920018,116194170
2020-04-07,2.75660678,2.922198,2.68842216,2.922198,140666809
2020-04-08,3.10727054,3.2144178,3.0196046,3.2144178,263506906
2020-04-09,3.5066376,3.53585958,2.96116064,2.9709013,310757856
2020-04-10,2.8247914,2.8734947,2.68842216,2.70790348,198395732
2020-04-13,2.63971886,2.64945952,2.51309028,2.54231226,103943119
2020-04-14,2.54231226,2.66894084,2.5325716,2.63971886,95500090
2020-04-15,2.62023754,2.66894084,2.55205292,2.61049688,75808938
2020-04-16,2.5812749,2.61049688,2.54231226,2.55205292,58738591
2020-04-17,2.56179358,2.5812749,2.50334962,2.51309028,60363173
2020-04-20,2.51309028,2.5812749,2.51309028,2.54231226,48073810
2020-04-21,2.54231226,2.56179358,2.45464632,2.55205292,66948509
2020-04-22,2.50334962,2.75660678,2.49360896,2.7273848,135694862
2020-04-23,2.6786815,2.91245734,2.64945952,2.73712546,155233990
2020-04-24,2.68842216,2.71764414,2.55205292,2.5812749,83454014
2020-04-27,2.54231226,2.6299782,2.51309028,2.55205292,54992434
2020-04-28,2.54231226,2.55205292,2.34749906,2.4838683,61900774
2020-04-29,2.46438698,2.50334962,2.39620236,2.42542434,37563647
