date,open,high,low,close,volume
2020-01-02,6.56117098,6.64390958,6.5363494,6.59426642,9252411
2020-01-03,6.56944484,6.72664818,6.5363494,6.69355274,11864053
2020-01-06,6.619088,6.72664818,6.5777187,6.64390958,9987250
2020-01-07,6.65218344,6.72664818,6.63563572,6.71010046,8435038
2020-01-08,6.66873116,6.67700502,6.5363494,6.5363494,9438098
2020-01-09,6.56944484,6.63563572,6.56117098,6.60254028,5504317
2020-01-10,6.62736186,6.66873116,6.5777187,6.61081414,5252655
2020-01-13,6.619088,6.63563572,6.55289712,6.62736186,4009811
2020-01-14,6.62736186,6.66873116,6.619088,6.63563572,5996156
2020-01-15,6.63563572,6.65218344,6.46188466,6.51980168,6540014
2020-01-16,6.51980168,6.56944484,6.4122415,6.43706308,5753286
2020-01-17,6.50325396,6.50325396,6.3708722,6.37914606,4343331
2020-01-20,6.39569378,6.42051536,6.31295518,6.4122415,5239264
2020-01-21,6.4122415,6.4122415,6.18884728,6.23849044,7181505
2020-01-22,6.23021658,6.25503816,6.0812871,6.18057342,6016189
2020-01-23,6.15575184,6.2881336,5.97372692,6.03164394,7550650
2020-02-03,5.42765216,5.42765216,5.42765216,5.42765216,1895800
2020-02-04,4.91467284,5.36973514,4.91467284,5.24562724,11628379
2020-02-05,5.22907952,5.48556918,5.22907952,5.35318742,7911440
2020-02-06,5.378009,5.53521234,5.32009198,5.51866462,8334939
2020-02-07,5.51039076,5.69241568,5.46902146,5.61795094,8813350
2020-02-10,5.61795094,5.70068954,5.55176006,5.69241568,6831483
2020-02-11,5.69241568,5.71723726,5.61795094,5.61795094,5341552
2020-02-12,5.60140322,5.65932024,5.57658164,5.63449866,4499610
2020-02-13,5.63449866,5.64277252,5.46902146,5.52693848,5869862
2020-02-14,5.5021169,5.5434862,5.4607476,5.48556918,4589170
2020-02-17,5.52693848,5.78342814,5.48556918,5.7089634,9050498
2020-02-18,5.69241568,5.84961902,5.6675941,5.80824972,8412454
2020-02-19,5.79997586,5.84961902,5.75860656,5.80824972,7558898
2020-02-20,5.8330713,5.8744406,5.75860656,5.85789288,8811492
2020-02-21,5.8744406,5.96545306,5.84134516,5.86616674,10127340
2020-02-24,5.88271446,5.94063148,5.73378498,5.90753604,11321614
2020-02-25,5.78342814,5.84134516,5.6262248,5.79997586,12232907
2020-02-26,5.7503327,6.37914606,5.72551112,6.37914606,27804909
2020-02-27,6.619088,6.94176854,5.8744406,6.64390958,53033075
2020-02-28,6.3708722,7.18171048,6.27158588,6.83420836,52002467
2020-03-02,6.97486398,7.37200926,6.619088,7.1568889,50281950
2020-03-03,6.9500424,7.34718768,6.87557766,7.05760258,49709493
2020-03-04,7.01623328,7.76088068,6.99968556,7.76088068,75377660
2020-03-05,7.860167,8.53862352,7.71123752,8.53862352,74302577
2020-03-06,9.2667232,9.3908311,8.9357688,9.34118794,63037170
2020-03-09,8.9357688,9.73833322,8.40624176,8.59654054,106514648
2020-03-10,7.7360591,8.17457368,7.7360591,7.7360591,71560047
2020-03-11,7.49611716,7.83534542,7.33063996,7.47956944,52152109
