epoch,train_loss,valid_loss
1,2.685082126546789,2.599234104156494
2,2.598416045860008,2.5749832902635847
3,2.5809972197921187,2.569275447300502
4,2.5726927474693015,2.566589900425502
5,2.567454779589618,2.5649802003587996
6,2.5622284412384033,2.564842564719064
7,2.558797739170216,2.5650553022112166
8,2.555220029972218,2.5647119794573103
9,2.552039349520648,2.5639420577457974
10,2.5505803426106772,2.5603954792022705
11,2.5465349268030235,2.5583247457231795
12,2.5419699174386485,2.557788440159389
13,2.5384593539767795,2.558675902230399
14,2.533121833094844,2.5602019173758372
15,2.529449295114588,2.561717918940953
16,2.524409196994923,2.5641544546399797
