seed,top_k,periods,avg_realized_return,win_rate,cumulative_return_proxy,max_drawdown
7,5,10,0.0231163099320006,0.8,0.2520109883830659,-0.011546529834600139
7,10,10,0.0205913067420304,0.8,0.2211748429079478,-0.02450555046334857
7,20,10,0.020700553753497,0.9,0.2245277422346312,-0.01292602863779646
21,5,10,0.0056251926732302,0.5,0.0535567880189824,-0.04046715977523141
21,10,10,0.0157917168913045,0.7,0.1654156422057329,-0.019213002715926075
21,20,10,0.0136286893163872,0.8,0.1418745237216476,-0.026709067710161793
42,5,10,0.0127994020513478,0.5,0.13031507362027,-0.037315980146465755
42,10,10,0.0152228417347303,0.6,0.1585616468681596,-0.019537790278215894
42,20,10,0.0177263194327004,0.6,0.1890562497127521,-0.012735563173028042
