top_k,num_seeds,mean_avg_realized_return,std_avg_realized_return,min_avg_realized_return,max_avg_realized_return,mean_win_rate,mean_max_drawdown,worst_max_drawdown
5,3,0.013846968218859534,0.007179036235062028,0.0056251926732302,0.0231163099320006,0.6,-0.029776556585432434,-0.04046715977523141
10,3,0.0172019551226884,0.002407859773823219,0.0152228417347303,0.0205913067420304,0.7000000000000001,-0.02108544781916351,-0.02450555046334857
20,3,0.017351854167528203,0.0028991935465263376,0.0136286893163872,0.020700553753497,0.7666666666666667,-0.017456886506995433,-0.026709067710161793
