epoch,train_loss,valid_loss
1,2.665422042210897,2.6007247311728343
2,2.5962433020273843,2.5760326044900075
3,2.578998565673828,2.5700767380850658
4,2.57210636138916,2.5655785628727505
5,2.5660852591196694,2.562304667064122
6,2.5613751676347523,2.5600664956229076
7,2.556937676888925,2.558629240308489
8,2.5533217324150934,2.557652235031128
9,2.549980075271041,2.5569846289498463
10,2.547033106839215,2.5564960071018765
11,2.543123448336566,2.556842190878732
12,2.540257904264662,2.5567000593457903
13,2.53687353487368,2.556577239717756
14,2.5335675610436335,2.557776246752058
