epoch,train_loss,valid_loss
1,2.673767054522479,2.5992500441414967
2,2.595978542610451,2.5746876171657016
3,2.579363973052413,2.5682425498962402
4,2.5723595354292126,2.5650600024632046
5,2.566778580347697,2.562387159892491
6,2.562986003028022,2.5604515416281566
7,2.5584961396676524,2.558584008898054
8,2.5542104597444886,2.557617119380406
9,2.5509031172151917,2.556598424911499
10,2.5468540015044034,2.555419989994594
11,2.543241200623689,2.554636444364275
12,2.537769388269495,2.5564751284463063
13,2.534008608924018,2.5566536017826627
14,2.528901727111251,2.55781204359872
15,2.5245296955108643,2.5581716809953963
