epoch,train_loss,valid_loss
1,2.6785323884752064,2.614410434450422
2,2.60014424500642,2.5781301770891463
3,2.578887621561686,2.568251405443464
4,2.570702173091747,2.5636891637529646
5,2.565224144193861,2.5612587247576033
6,2.5604472866764776,2.559074708393642
7,2.5566580207259566,2.558259589331491
8,2.5529397505301015,2.5576185498918806
9,2.5496543336797646,2.5568036351885115
10,2.54648396703932,2.556493486676897
11,2.5424895551469593,2.5567424297332764
12,2.539022719418561,2.5582828521728516
13,2.536131920637908,2.559283801487514
14,2.530539106439661,2.561467783791678
