model,top_k,num_seeds,mean_avg_realized_return,std_avg_realized_return,min_avg_realized_return,max_avg_realized_return,mean_win_rate,mean_max_drawdown,worst_max_drawdown
m3net_full,5,3,0.009531710027251334,0.00553781767417683,0.0031359733927443,0.0166439175690939,0.49999999999999994,-0.029776556585432434,-0.04046715977523141
m3net_full,10,3,0.015156144669956533,0.0015273661425372607,0.0132582202772815,0.0169982380155776,0.611111111111111,-0.02108544781916351,-0.02450555046334857
m3net_full,20,3,0.016237872698075934,0.0014633338599256277,0.0150720654262555,0.018301549453723,0.7222222222222223,-0.017456886506995433,-0.026709067710161793
m3net_reranker,5,3,0.024410148893014235,0.003629894167528384,0.0203301901584911,0.0291482109210974,0.7777777777777777,-0.013768117756360257,-0.02266412067692125
m3net_reranker,10,3,0.0181712493888518,0.0014758869868435314,0.0162769881432001,0.019877454676528,0.7222222222222223,-0.017739514510710208,-0.029235775800740882
m3net_reranker,20,3,0.016237872698075934,0.0014633338599256277,0.0150720654262555,0.018301549453723,0.7222222222222223,-0.014015230015013147,-0.016384098234214717
m3net_risk_reranker,5,3,0.0158177969562009,0.003029232632893931,0.0130732069529459,0.020038739847935,0.7777777777777778,-0.02872052815779358,-0.05772624010291394
m3net_risk_reranker,10,3,0.017750417615417832,0.004714849980859023,0.0119722964377538,0.0235212662351748,0.7777777777777778,-0.014515906705332279,-0.035373284682647
m3net_risk_reranker,20,3,0.016237872698075934,0.0014633338599256277,0.0150720654262555,0.018301549453723,0.7222222222222223,-0.014015230015013147,-0.016384098234214717
m3net_topk_reranker,5,3,0.017084130176676534,0.00985842562310422,0.0042882628328705,0.0282760358801214,0.7222222222222222,-0.027558435118598346,-0.0352829869721657
m3net_topk_reranker,10,3,0.017340413419038834,0.004555954194508016,0.012015218081826,0.0231441571999867,0.7777777777777778,-0.02841096160090924,-0.03522649801252575
m3net_topk_reranker,20,3,0.016237872698075934,0.0014633338599256277,0.0150720654262555,0.018301549453723,0.7222222222222223,-0.014015230015013147,-0.016384098234214717
