epoch,train_loss,valid_loss
1,2.6737673635836,2.599250997815813
2,2.5959815360881664,2.5746896266937256
3,2.5793604409253157,2.568244048527309
4,2.5723724983356617,2.565054723194667
5,2.5667817857530384,2.5623839923313687
6,2.5629871686299643,2.56044796534947
7,2.558501234760991,2.5585829189845493
8,2.55422071174339,2.5576205934797014
9,2.5509130424923367,2.5565950189317976
10,2.5468489858839245,2.5554178101675853
11,2.543239946718569,2.5546373980385915
12,2.5377660857306585,2.556481088910784
13,2.5340145075762712,2.556657007762364
14,2.528891854816013,2.557805504117693
15,2.524519752573084,2.5581723281315396
