epoch,train_loss,valid_loss
1,2.6732635586350053,2.5983749457768033
2,2.5960980697914406,2.5743109498705183
3,2.5802546872033014,2.5681512696402415
4,2.5725396739112005,2.5646607194628035
5,2.566719408388491,2.5627762249537875
6,2.561919645026878,2.5618293966565813
7,2.5587118290088795,2.5613789899008617
8,2.5549411597075284,2.5617490155356273
9,2.552082061767578,2.5610157421657016
10,2.549388399830571,2.5601139409201488
11,2.545163799215246,2.5611791951315745
12,2.5403688572071217,2.5622407708849226
13,2.5377151701185436,2.5624761240822926
14,2.5338957839541965,2.5627071857452393
